不学无术,学：学问；术：技能。原指没有学问因而没有办法。现指没有学问，没有本领。
安富尊荣,安：安逸；富：富有；尊：尊贵；荣：荣耀。安定富足，尊贵荣华。也指安于富裕安乐的生活。
有勇无谋,只有勇气，没有计谋。指做事或打仗只是猛打猛冲，缺乏计划，不讲策略。
故作高深,本来并不高深，故意装出高深的样子。多指文章故意用些艰深词语，掩饰内容的浅薄。
忍俊不禁,忍俊：含笑；不禁：无法控制自己。指忍不住要发笑。
惹是生非,惹：引起；非：事端。招惹是非，引起争端。
好心好意,指怀着善意
炉火纯青,道士炼丹，认为炼到炉里发出纯青色的火焰就算成功了。后用来比喻功夫达到了纯熟完美的境界。
倒海翻江,形容力量或声势非常浩大。
弄巧反拙,见“弄巧成拙”。
难以置信,不容易相信。
雪中送炭,在下雪天给人送炭取暖。比喻在别人急需时给以物质上或精神上的帮助。
殃及池鱼,比喻无缘无故地遭受祸害。
善男信女,佛教用语。原指皈依佛法的男女。后泛指信仰佛教的男男女女。
迟疑不决,犹豫疑惑，不能决定
无关宏旨,宏：大；旨：意义，目的。和主要意思没有关系。指意义不大或关系不大。
先人后己,首先考虑别人，然后想到自己。
取而代之,指夺取别人的地位而由自己代替。现也指以某一事物代替另一事物。
枯木朽株,枯木头，烂树根。比喻衰朽的力量或衰老无用的人。
后生可畏,后生：年轻人，后辈；畏：敬畏。年轻人是可敬畏的。形容青年人能超过前辈。
不拔之志,比喻意志坚决，不可动摇。
细水长流,比喻节约使用财物，使经常不缺用。也比喻一点一滴不间断地做某件事。
肩摩毂击,肩膀和肩膀相摩，车轮和车轮相撞。形容行人车辆往来拥挤。
暴露无遗,暴露：显露，显现；遗：遗漏。全都暴露出来。
依依不舍,依依：依恋的样子；舍：放弃。形容舍不得离开。
言犹在耳,犹：还。说的话还在耳边。比喻说的话还清楚地记得。
兰质蕙心,形容美丽而聪明。
呆若木鸡,呆：傻，发愣的样子。呆得象木头鸡一样。形容因恐惧或惊异而发愣的样子。
昼夜兼程,程：行进。白天和黑夜都不停地赶路。
千思万想,无数遍的思索、考虑。犹言千思万虑。形容用心极苦。
冷嘲热讽,用尖刻辛辣的语言进行讥笑和讽刺。
阴谋诡计,诡：欺诈，奸滑。指暗地里策划坏的害人的坏主意。
嗤之以鼻,嗤：讥笑。用鼻子吭声冷笑。表示轻蔑。
知法犯法,知道法律，又违反法律。指明知故犯。
宵衣旰食,宵：夜间；衣：穿衣；旰：天已晚。天不亮就穿起衣来，时间晚了才吃饭。形容为处理国事而辛勤地工作。
耐人寻味,耐：禁得起；寻味：探索体味。意味深长，值得人仔细体会琢磨。
七颠八倒,形容十分凌乱。
口不应心,应：符合。心口不一致。
捉摸不定,估量不透。捉摸：猜测，预料。
品貌非凡,品貌：人品和容貌；非凡：不同寻常。品行相貌都超出一般。
酒囊饭袋,只会吃喝，不会做事。讥讽无能的人。
浮而不实,形容知识浅薄，基础不扎实；形容作风浮泛，不深入不踏实
黄钟大吕,黄钟：我国古代音韵十二律中六种阳律的第一律。大吕：六种阴律的第四律。形容音乐或言辞庄严、正大、高妙、和谐。
震耳欲聋,形容声音很大，耳朵都快震聋了。
别别扭扭,说话、作文不通顺，彼此意见不投合。亦指争执之事 
难舍难分,形容关系密切，感情融洽，难以取舍
收回成命,取消已公布的命令或决定。
说来话长,表示事情很复杂，不是几句话就能说清楚（多指不大愉快的事）。
程门立雪,旧指学生恭敬受教。比喻尊师。
不知去向,不知道到哪里去了
网漏吞舟,网：渔网，比喻法网；吞舟：吞舟的大鱼，比喻大奸。网里漏掉吞舟大鱼。比喻法律太宽，使重大的罪犯也能漏网。
尖嘴猴腮,形容人相貌丑陋粗俗。
